shapefile_path,image_path
/Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1601_D_thicknesses_WGS84.shp,/Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/TerraSAR-X/Analysis/RS2paper/DeceptionBay_orbit89_IncAngle46_VVVH/TSX_20160119/TSX_20160119_sub_rat2.tif
/Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1604_D_thicknesses_WGS84.shp,/Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/TerraSAR-X/Analysis/RS2paper/DeceptionBay_orbit89_IncAngle46_VVVH/TSX_20160427/TSX_20160427_sub_rat2.tif
/Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1701_D_thicknesses_WGS84.shp,/Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/TerraSAR-X/Analysis/RS2paper/DeceptionBay_orbit89_IncAngle46_VVVH/TSX_20170116/TSX_20170116_sub_rat2.tif
/Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1704_D_thicknesses_notransect_WGS84.shp,/Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/TerraSAR-X/Analysis/RS2paper/DeceptionBay_orbit89_IncAngle46_VVVH/TSX_20170425/TSX_20170425_sub_rat2.tif
/Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1801_D_thicknesses_notransect_WGS84.shp,/Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/TerraSAR-X/Analysis/RS2paper/DeceptionBay_orbit89_IncAngle46_VVVH/TSX_20180205/TSX_20180205_sub_rat2.tif
/Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1805_D_thicknesses_notransect_WGS84.shp,/Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/TerraSAR-X/Analysis/RS2paper/DeceptionBay_orbit89_IncAngle46_VVVH/TSX_20180515/TSX_20180515_sub_rat2.tif
/Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1704_D_thicknesses_transect_noship_WGS84.shp,/Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/TerraSAR-X/Analysis/RS2paper/DeceptionBay_orbit89_IncAngle46_VVVH/TSX_20170425/TSX_20170425_sub_rat2.tif
/Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1801_D_thicknesses_transect_noship_WGS84.shp,/Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/TerraSAR-X/Analysis/RS2paper/DeceptionBay_orbit89_IncAngle46_VVVH/TSX_20180205/TSX_20180205_sub_rat2.tif
/Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/VectorData/UTM/1805_D_thicknesses_transect_noship_WGS84.shp,/Volumes/Carbe/Doctorat/BaieDeception/Donnees/Imagerie/TerraSAR-X/Analysis/RS2paper/DeceptionBay_orbit89_IncAngle46_VVVH/TSX_20180515/TSX_20180515_sub_rat2.tif
# ORBIT 89
